,Category,Resume_skills
0,HR,"{loyalty marketing, micros, office, mar, customer satisfaction, productivity, customer service management, leadership, dental insurance, inventory control, statistics, opera reservation system, codes, reviews, payroll, morale, reporting, conflict, commerce, n, service delivery, customer loyalty, onq, budgeting, government, features, operations, data analysis, swift, customer service, insurance, prevention, front office, customer, healthcare, opera, team management, computer skills, icd, loss prevention, employee relations, conflict resolution, ratings, labor relations, general, health, training, analytical skills, performance reviews, paperwork, participation, terminology, print, holidex, public, compensation, collateral, records, pension, documentation, purchasing, assessment, presentations, medical billing, government relations, print media, design, time management, trade shows, advanced, management accounting, public relations, interpret, facebook, medical terminology, layout, daily operations, teams, executive support}"
1,HR,"{contractors, brochures, office, output, credit, draft, launch operations, branding, coordinated, reporting, articles, indesign, marketing materials, photoshop, internal audit, rfi, launches, briefing, operations, technology, campus, sales leads, group policy, job aids, background checks, vendors, customer, adobe photoshop, brand identity, adobe, materials, quality, final cut pro, flow, campaigns, pro, screens, digital asset management, training, checks, participation, standard work, microsoft office, outages, print, brand awareness, graphics, salary, digital, metrics, public, toolkit, lotus notes, lotus, sharepoint, collateral, retail, engage, publications, presentations, web design, union, product knowledge, events, design, print media, video, affinity, trade shows, rfp, communications, story, promotional, options, project, business units, reporting systems, public relations, notes, product service, hr operations, teams, microsoft, web, asset management, key metrics}"
2,HR,"{budget management, recruiting, office, turnover, regulations, information management, wage, leadership, recruiter, one, federal government, coordinated, quark, reviews, microsoft publisher, payroll, resolve, reporting, environment, commerce, databases, performance management, harvard graphics, box, contract labor, range, osha, wordperfect, automation, staff utilization, corrective actions, instrumental, less, policy development, military, publishing, government, support management, man, corel, customer service, front office, comp, customer, healthcare, legal requirements, quality, health outcomes, common sense, leadership training, staff relations, pro, exist, general, health, pagemaker, training, quattro pro, strategic planning, travel, graphics, salary, public, compensation, word, regulatory compliance, flsa, research, records, organizational management, suite, express, maintenance, security, coaching, liaison, hris, survey, agents, access, federation, clearances, project, executive management, career development, database, interpret, processing, plus, excel, hiring, jvc, workers compensation, utilization, microsoft, system automation, web, payroll processing, pay}"
3,HR,"{focus, completion, call quality, customer service skills, conflict resolution, call control, call monitoring, personnel management, email management, initiation, access, mar, case, microsoft word, training, customer satisfaction, case management, resolutions, database, powerpoint, filing, microsoft excel, routing, hr policies, microsoft powerpoint, outlook, word, process management, excel, customer service, records, payroll, microsoft outlook, customer, email, resolve, documentation, microsoft, teams, management system, quality, conflict, player, texas}"
4,HR,"{christmas, personnel records, organizational development, recruiting, office, statutes, regulations, benefits administration, mediation, offers, productivity, leadership, one, outlook, staff development, compensation administration, paychex, developments, coordinated, continuous improvement, payroll, leadership development, resolve, morale, personnel files, reporting, conflict, disciplinary action, environment, development programs, performance management, box, workshops, range, service delivery, compensation structures, state laws, discrimination, technology services, instrumental, policy compliance, visio, powerpoint, operations, technology, organization, strategic business, problem solving, strategy, special events, quality, salary negotiations, data center, employee relations, conflict resolution, health, training, teamwork, executive team, confidentiality, salary, hr policies, kronos, merge, boarding, compensation, word, resource management, peak, wc, records, workforce planning, maintenance, management system, coaching, strategic initiatives, hris, events, access, discount, project, business units, groups, art, hr strategy, employment law, plus, excel, hiring, interviewing, employment contracts, cmo, hr operations, directors}"
5,HR,"{mail, focus, psychology, performance management, training programs, travel arrangements, copies, office, events, time management, administrative, workshops, citizenship, conferences, student activities, training, office operations, file systems, strategic planning, mandates, contractual, travel, project, annual reports, visio, regulatory guidelines, productivity, database, management professional, powerpoint, spreadsheets, microsoft office, filing, public relations, operations, notes, technology, acting, justice, publications, processing, one, outlook, public, foreign nationals, word, excel, petitions, coordinated, international students, notification, paper, resource management, student programs, authorization, status, customer, interpreting, conference rooms, microsoft, special events, maintenance, materials, quality, adjudication, immigration, presentations}"
6,HR,"{spanish, organizational development, tesol, office, administrative, english, mediation, reddot, records management, leadership, design workshops, one, training material, staff development, quark, professional development, exit interviews, membership, leadership development, conflict, indesign, performance management, manuals, workshops, range, peoplesoft, writing, higher education, maintenance training, campus, customer service, languages, customer, special events, quality, texas, newsletters, administrative skills, employee relations, conflict resolution, office suites, labor relations, schedules, health, training, microsoft office, hr policies, workplace, boarding, compensation, special programs, personnel manuals, spinner, conducting workshops, sharepoint, resource management, records, wc, professional services, scheduling, maintenance, security, publications, sociology, bar, web design, coaching, workplace safety, hris, events, design, conferences, project, conducting, teaching, softball, online, service awards, hiring, microsoft, web}"
7,HR,"{training programs, recruiting, office, administrative, turnover, led, offers, staff development, coordinated, middle management, new hire orientations, continuous improvement, professional development, exit interviews, payroll, resolve, job analysis, bookkeeping, history, employee handbooks, licensure, environment, cost per hire, government, law enforcement, specifications, building, scales, customer service, leave administration, insurance, sourcing, background checks, orientation programs, customer, strategy, overtime, quality, hearings, mail, employee rewards programs, employee relations, labor relations, safety training, general, health, training, drive, checks, paperwork, team building, voluntary, filing, office cleaning, workplace, government compliance, compensation, cobra, vendor management, resource management, new hires, documentation, learning, evaluations, liaison, mail sorting, project, database, processing, handbooks, carriers, sorting, grasp, directors, payroll processing, employee evaluation, pay}"
8,HR,"{evaluations, missions, leadership training, performance management, exceptions, leadership management, neogov, employee training, market analysis, multi state, provision, administrative, range, screens, qualifying candidates, service delivery, soft skills, regulations, negotiation, training, full cycle, labor market, led, english, wage, offers, procedural, radiation, checks, project, referrals, oversight, research development, adjustments, lead development, interaction management, powerpoint, principles, leadership, evolution, designation, salary, consultation, hr policies, cabinet, workplace, outlook, supervisory skills, boarding, civil engineers, compensation, word, classification, excel, operators, revisions, coordinated, customer service, middle management, prevention, phone screens, flsa, reviews, institutional, research, nurses, background checks, compensation studies, status, customer, job analysis, mechanical, educational training, security, engineers, pay}"
9,HR,"{boost, invoicing, databases, ledger, six sigma, credentials, performance management, completion, employee relations, scp, events, administrative, kronos timekeeping, r, manufacturing, general, training, benefits administration, payroll management, business strategy, lean six sigma, offers, project, conducting, ethics, safety programs, database, employee engagement, electronics, corporate social responsibility, kronos, timekeeping, one, reporting, metrics, compensation, data sheets, management skills, performing, hiring, hr management, legal issues, generalists, general ledger, payroll administration, continuous improvement, resource management, research, workers compensation, records, social responsibility, arranging, scheduling, payroll, closure, sheets, purchasing, strategy, bookkeeping, lean manufacturing, maintenance, cp, accounts payable, security, learning, onboarding}"
10,HR,"{new hire training, peachtree, interview, ledger, credentials, cash, organizational development, customer service skills, oracle, employee relations, office, revenue, administrative, credit, regulations, schedules, training, expense reports, communications, analytical skills, returns, travel, records management, paperwork, checks, memos, matching, database, spreadsheets, filing, leadership, orthopedic, confidentiality, pto, organization, processing, interpersonal skills, boarding, compensation, resumes, quickbooks, performing, hiring, coordinated, customer service, resource management, young adults, records, background checks, phr, scheduling, payroll, vendors, customer, suite, purchase orders, organizational leadership, overtime, player, payroll processing, new hire paperwork}"
11,HR,"{grievances, interview, living abroad, employee training, salary review, recruiting, office, administrative, internet, turnover, investigation, english, benefits administration, lec, business culture, ts, leadership, surfing, one, specialized programs, staff development, compliance monitoring, continuous improvement, exit interviews, payroll, resolve, reporting, conflict, environment, performance management, work processes, range, glass, kpi, corrective actions, working environment, operations, organization, leave management, strategic business, interpersonal skills, programmes, problem solving, prevention, payroll administration, general administration, purchase requisitions, film, bonus, procurement, program development, completion, employee relations, public administration, welfare, general, schedules, performance measurement, training, strategic planning, drive, balance, salary, public, compensation, management skills, tax, regulatory compliance, people management, resource management, scheduling, purchasing, record, learning, program creation, metal, workflow, iso, conflict management, events, requisitions, development management, steel, performance appraisal, conducting, scorecard, administrative processes, hiring, ltd, interviewing, purchase orders, spectrum}"
12,HR,"{development planning, focus, coaching, liaison, spanish, quality improvement, multiple projects simultaneously, passenger, office, events, administrative, team effectiveness, access, finances, training, instructions, microsoft word, interventions, shopping, numbers, office operations, home shopping, offers, less, project, visio, conducting, guides, powerpoint, knowledge management, french, leadership skills, leadership, operations, notes, microsoft excel, compensation planning, team performance, internal controls, microsoft powerpoint, outlook, processing, public, compensation, word, online, excel, lotus notes, problem solving, customer service, languages, lotus, interviewing, microsoft access, new hires, microsoft publisher, records, microsoft outlook, status, customer, documentation, email, microsoft, organizational leadership, record, quality, retail, security, employee recognition, player, environment}"
